id_usuario,ids_restaurante_favorito
251186,3367
251186,4439
251186,7301
251186,7686
601860,104
601860,10476
601860,12988
601860,1355
601860,2409
601860,2762
601860,3126
601860,388
601860,389
601860,48
24319,10436
24319,10516
24319,10688
24319,11034
24319,11322
24319,14506
24319,1556
24319,1980
24319,2134
24319,2602
28718,48
753070,15320
176626,8012
285394,12006
e64d2bcd-1e22-401e-a910-eccdfe921d28,14868
82728,104
82728,1127
82728,2811
72335,14326
72335,10126
72335,10158
72335,10278
72335,1060
72335,10818
72335,10878
72335,11690
72335,11890
72335,1220
f354c139-3ab2-45ad-90d0-d8f15adfaeaa,246
f354c139-3ab2-45ad-90d0-d8f15adfaeaa,8562
24036,3469
24036,3854
24036,8346
83836,3079
83836,7821
5592,2969
5592,7856
615702,14304
524446,6708
524446,15328
524446,14830
89660,117
89660,48
89660,5133
89660,7391
89660,7804
44726,8432
297626,1912
297626,340
297626,3610
297626,5639
297626,7856
123340,282
89336,94
7362,7
138054,10322
138054,10888
138054,1403
138054,2945
138054,3378
138054,3842
138054,3899
138054,6116
138054,6612
138054,7686
49345,10114
49345,3445
49345,4758
49345,48
49345,7530
49345,7632
49345,9620
49345,976
62647,10108
62647,1059
62647,10686
62647,11274
62647,124
62647,125
62647,14910
62647,1650
62647,2116
62647,2139
412744,8442
28187,1386
28187,237
28187,2933
28187,2934
28187,3995
28187,976
46282,1958
46282,2166
155864,11792
155864,12504
155864,12748
155864,12752
155864,1282
155864,1307
155864,13366
155864,13468
155864,13610
155864,14084
2266,7686
35009,3322
58e027d208fb9,11954
126124,10554
126124,231
126124,2667
126124,6009
81026,1380
81026,2444
81026,273
81026,3362
81026,3973
81026,4017
81026,4090
81026,4104
81026,59
81026,6302
96034,10322
96034,11890
96034,166
96034,2034
96034,2715
96034,6999
96034,739
96034,9212
124130,149
124130,48
124130,48
132076,11538
132076,3498
132076,3807
132076,3964
132076,5427
132076,6802
132076,826
229888,10158
229888,10380
229888,1139
229888,11892
229888,1222
229888,1445
229888,2053
229888,2265
229888,231
229888,2579
391232,2070
123928,48
89090,9620
593742,136
593742,14910
593742,200
593742,2734
593742,282
593742,2988
593742,362
593742,4072
593742,48
593742,648
740934,4191
390090,499
8078,9598
8078,1d3ef3a9-398b-6c35-82b5-559d3e13445b
8078,aead7b92-3fb4-9bbe-ee46-578791928317
8078,12364
8078,12788
8078,15136
8078,2042
8078,14276
8078,13334
8078,14314
57004,104
57004,5688
434166,12848
545334,12898
545334,14052
545334,6350
43666,11952
43666,13608
43666,14212
43666,2437
43666,4191
43666,495
43666,7301
43666,748
43666,9212
43666,9242
184048,1935
76028,125
76028,14832
16384,282
16384,3003
16384,3469
16384,3854
16384,5144
16384,6477
16384,6481
16384,6738
16384,6802
16384,7095
125928,10098
125928,10436
125928,2139
125928,2825
125928,2997
125928,8074
84901,6573
10288,14228
707526,12350
707526,499
547270,10422
547270,1489
460326,3367
460326,7873
460326,8562
120386,11294
100784,3450
168672,7804
168672,9418
3649,3202
3649,3423
3649,3450
3649,362
3649,3997
3649,3998
3649,4072
3649,4131
3649,6302
3649,6318
684790,14654
684790,2048
444296,10772
444296,2083
444296,6839
16076,10450
16076,10720
16076,11878
16076,12100
16076,12576
16076,12816
16076,12898
16076,12920
16076,13468
16076,13612
83989,3901
101178,225
101178,360
410850,7686
70260,8534
6761,9802
60355,3824
478348,14074
16860,11878
16860,1980
16860,2138
16860,2368
16860,6322
16860,802
16860,9818
45279,10834
45279,3992
45279,6535
45279,9802
a03fb32b-91a6-4bcd-8ac2-367576a6550a,5f6a4068-febf-4ef2-a2fa-577aab87aadb
164870,1401
712964,11766
712964,126
712964,4010
712964,8078
70238,10108
70238,10450
70238,1059
70238,10726
70238,10766
70238,1103
70238,11322
70238,1136
70238,11566
70238,11900
245376,94
557744,200
460072,104
460072,7595
24286,651
24286,68
24286,8076
739364,3596
50942,82
100972,1668
100972,6116
245776,2757
79981,6518
79981,7154
79981,85
79981,124
79981,1499
79981,1961
79981,227
79981,255
79981,2933
79981,3367
77559,2116
77559,3099
77559,3177
77559,7
77559,7530
77559,755
77559,9592
62954,2777
239144,7710
288752,7453
288752,7603
288752,2098
306340,3824
183722,10686
183722,11216
183722,1241
183722,12664
183722,13302
183722,13624
183722,1733
183722,6370
183722,7873
143974,227
143974,5132
143974,6847
505166,11878
505166,14174
505166,14480
505166,2004
505166,2082
505166,3153
505166,6697
505166,6999
505166,9894
82952,301
82952,7340
3148,1060
3148,2138
3148,2605
3148,2862
3148,3807
3148,3998
3148,486
3148,7491
3148,9150
3148,9156
81517,12604
623564,15208
350976,2927
76182,5326
261168,2468
191558,4056
53136,6302
53136,7098
53136,7500
53136,8446
53136,9306
53136,10064
53136,10086
53136,10112
53136,10882
53136,11322
56019,104
56019,377
3523,7296
97280,2988
97280,3498
50966,2740
50966,863
131018,1182
131018,1613
131018,3008
131018,316
131018,3426
131018,59
131018,7149
131018,94
60105,2103
60105,231
60105,256
60105,261
60105,2715
60105,3177
60105,3321
60105,3807
60105,3971
60105,4656
265928,11132
265928,3829
314020,1241c9be-e9de-4af8-9439-9b6e8b82e578
83647,48
36206,1183
36206,2388
36206,2843
36206,31
36206,319
134442,10118
134442,10184
134442,12818
134442,15106
134442,161
134442,1700
134442,2166
134442,2600
134442,288
134442,3150
245234,6947
245234,9342
50310,1182
50310,1795
50310,1843
50310,8278
99442,4056
85962,435
85962,537
85962,6367
85962,6635
85962,7648
85962,789
85962,982
85962,104
85962,1094
85962,141
112430,3146
20794,48
575260,2797
575260,15100
575260,15787
575260,3998
575260,10720
575260,3964
575260,15396
575260,15788
575260,241
53469,7414
6539,2911
64255,11496
56570,739
56570,7338
10633,1099
177572,10982
177572,11496
177572,125
177572,177
177572,1961
177572,2116
177572,2762
177572,3123
177572,33
177572,36
22695,2841
254852,10108
254852,10206
254852,11954
254852,14148
254852,14524
254852,15788
254852,2139
254852,2734
254852,2797
254852,2865
7825,7430
45778,12002
45778,149
45778,2053
45778,2997
45778,362
45778,3970
45778,5144
45778,6406
45778,7096
45778,7710
77930,7310
59751,2011
358672,131
358672,48
358672,9802
54718,2662
54718,6000
27719,104
27719,163
27719,253
27719,2646
27719,3378
27719,3610
27719,7240
443110,10106
443110,11412
443110,12002
443110,12118
443110,12748
443110,12996
443110,13300
443110,13468
443110,13610
443110,2166
405742,15032
214146,214
214146,2811
214146,8562
356790,4056
117992,10084
117992,104
117992,1328
117992,1937
117992,2171
117992,2628
117992,2703
117992,2811
117992,3354
117992,378
231060,2718
77315,1070
77315,2762
77315,2832
77315,2845
77315,4190
77315,48
77315,669
77315,6697
25303,3970
360420,360
360420,2707
360420,15202
295250,235
39558,6420
39558,650
252252,1426
252252,7095
252252,7775
252252,9582
126206,2975
189272,253
189272,515
189272,9170
8991,4573
3157,13366
383214,1684
383214,1885
383214,1964
383214,208
383214,3003
165876,2265
165876,7340
45317,1469
45317,1479
45317,1613
45317,2865
45317,3868
45317,3880
45317,6481
45317,672
45317,813
215930,6578
38858,2628
38858,2730
892,12788
213184,3352
213184,6302
213184,6318
213184,6483
76673,48
111392,5535
23307,14486
217338,10216
217338,14864
217338,10334
217338,292
217338,10206
217338,10370
217338,10688
217338,10898
217338,11140
217338,11322
7733,4734
adf353be-2311-4227-b3fa-9870e57a4168,7074
adf353be-2311-4227-b3fa-9870e57a4168,152643dd-e77e-4b48-b1b5-2b9ef7fdc8d8
adf353be-2311-4227-b3fa-9870e57a4168,13612
adf353be-2311-4227-b3fa-9870e57a4168,2165
adf353be-2311-4227-b3fa-9870e57a4168,0ecd6e79-24a1-4b71-95f5-bb095ead2979
70181,10158
70181,104
70181,10720
70181,1961
70181,217
70181,2230
70181,231
70181,378
70181,3824
70181,480
722032,e3cf234d-5fac-4da3-830b-56798bf9d5c7
722032,ea9da8a1-b595-953a-d13e-56781c3b6468
722032,14998
722032,13122
722032,138
722032,2873
722032,3306
722032,5326
722032,8336
175942,d76e271f-eabf-f36e-494c-572c94f60da7
175942,10874
175942,3126
175942,522
175942,11688
175942,7366
175942,6755
175942,214
175942,3114
175942,515
553100,1457
24583,9006
24583,9278
684474,12988
32024,749
32024,2579
32024,14646
32024,2970
32024,7128
32024,5117
32024,7134
32024,855
32024,1365
32024,6634
28881,10112
28881,10122
28881,10126
28881,10180
28881,10322
28881,104
28881,10436
28881,10516
28881,1060
28881,10688
579374,7746
614908,10720
